Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,58,0,0,1693663626728.841,,411.0,107.5,,,,383.0,125.5
2,58,0,0,1693663626760.181,31.33984375,411.0,107.5,0.0,,,382.0,125.5
3,58,0,0,1693663626796.09,35.9091796875,411.0,107.5,0.0,,,382.0,125.5
4,58,0,0,1693663626827.683,31.593017578125,411.0,107.5,0.0,,,382.0,125.5
5,58,0,0,1693663626860.286,32.602783203125,411.0,107.5,0.0,,,382.0,125.5
6,58,0,0,1693663626895.862,35.576171875,411.0,107.5,0.0,,,382.0,125.5
7,58,0,0,1693663626928.208,32.345947265625,411.0,107.5,0.0,,,382.0,125.5
8,58,0,0,1693663626960.312,32.10400390625,411.0,107.5,0.0,,,382.0,125.5
9,58,0,0,1693663626997.299,36.987060546875,411.0,107.5,0.0,,,382.0,125.5
10,58,0,0,1693663627029.284,31.98486328125,411.0,107.0,0.5,,,382.0,125.5
11,58,0,0,1693663627060.444,31.16015625,411.0,107.5,0.5,,,382.0,125.0
12,58,0,0,1693663627099.84,39.39599609375,411.0,107.5,0.0,,,382.0,125.5
13,58,0,0,1693663627132.137,32.296875,411.0,107.5,0.0,,,382.0,125.5
14,58,0,0,1693663627164.697,32.56005859375,411.0,107.5,0.0,,,382.0,125.5
15,58,0,0,1693663627199.558,34.861083984375,411.0,107.5,0.0,,,382.0,125.5
16,58,0,0,1693663627232.842,33.283935546875,411.0,107.5,0.0,,,382.0,125.5
17,58,0,0,1693663627262.958,30.115966796875,411.0,107.0,0.5,,,382.0,125.5
18,58,0,0,1693663627300.28,37.322021484375,411.0,107.0,0.0,,,383.0,125.0
19,58,0,0,1693663627331.318,31.0380859375,413.0,106.5,2.062,,,384.0,124.5
20,58,0,0,1693663627364.931,33.61279296875,415.0,105.5,2.236,,,386.0,123.5
21,58,0,0,1693663627399.669,34.738037109375,417.0,104.0,2.5,,,388.0,122.5
22,58,0,0,1693663627432.274,32.60498046875,419.0,103.0,2.236,,,390.0,121.0
23,58,1,0,1693663627463.774,31.5,421.0,101.5,2.5,,,392.0,119.0
24,58,0,0,1693663627499.864,36.090087890625,424.5,99.0,4.301,,,396.0,117.5
25,58,0,0,1693663627530.982,31.117919921875,429.0,96.5,5.148,,,399.0,114.5
26,58,0,0,1693663627564.669,33.68701171875,433.0,94.5,4.472,,,403.0,112.5
27,58,0,2,1693663627598.745,34.076171875,438.0,92.0,5.59,,,407.0,110.0
28,58,0,0,1693663627630.872,32.126953125,442.0,89.0,5.0,,,412.0,107.0
29,58,0,0,1693663627664.513,33.640869140625,448.5,86.0,7.159,0,0.0,417.0,104.0
30,58,0,0,1693663627698.786,34.27294921875,454.5,83.0,6.708,0,0.3487429162314661,423.0,100.5
31,58,0,0,1693663627730.86,32.07421875,461.0,81.0,6.801,0,0.4856429311786459,428.0,96.5
32,58,0,0,1693663627762.845,31.98486328125,467.0,79.0,6.325,0,0.8944271909999032,434.0,93.0
33,58,0,0,1693663627799.734,36.888916015625,474.5,77.5,7.649,0,0.6000000000000114,441.0,89.0
34,58,0,0,1693663627830.753,31.01904296875,481.5,76.0,7.159,0,0.8730378697119797,447.5,85.5
35,58,0,0,1693663627862.839,32.086181640625,490.0,76.0,8.5,0,0.33084657994221767,455.0,82.5
36,58,0,0,1693663627894.978,32.138916015625,497.0,76.0,7.0,0,0.7905694150420949,463.0,79.5
37,58,0,0,1693663627932.348,37.369873046875,507.0,76.0,10.0,0,0.19611613513818682,471.0,78.0
38,58,0,0,1693663627964.711,32.363037109375,515.0,77.5,8.139,0,0.20952908873087545,480.5,76.0
39,58,0,0,1693663627995.252,30.541015625,525.0,80.0,10.308,0,1.0,490.0,75.0
40,58,0,0,1693663628027.798,32.546142578125,534.0,83.0,9.487,0,1.0,499.5,75.0
41,58,0,0,1693663628059.025,31.226806640625,543.0,86.0,9.487,0,0.8600131635675281,509.0,75.5
