Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,60,0,0,1691849748412.214,,386.0,91.0,,,,353.0,91.0
2,60,0,0,1691849748440.952,28.73779296875,386.0,91.0,0.0,,,353.0,91.0
3,60,0,0,1691849748475.422,34.47021484375,386.0,91.0,0.0,,,353.0,91.0
4,60,0,0,1691849748510.704,35.281982421875,386.0,91.0,0.0,,,353.0,91.0
5,60,0,0,1691849748543.693,32.989013671875,386.0,91.0,0.0,,,353.0,91.0
6,60,0,0,1691849748579.222,35.52880859375,386.0,91.0,0.0,,,353.0,91.0
7,60,0,0,1691849748611.103,31.881103515625,386.0,91.0,0.0,,,353.0,91.0
8,60,0,0,1691849748642.7,31.596923828125,386.0,91.0,0.0,,,353.0,91.0
9,60,0,0,1691849748678.99,36.2900390625,386.0,91.0,0.0,,,353.0,91.0
10,60,0,0,1691849748711.097,32.10693359375,386.0,91.0,0.0,,,353.0,91.0
11,60,0,0,1691849748742.588,31.490966796875,386.0,91.0,0.0,,,353.0,91.0
12,60,0,0,1691849748778.541,35.953125,386.0,91.0,0.0,,,353.0,91.0
13,60,0,0,1691849748810.795,32.25390625,386.0,91.0,0.0,,,353.0,91.0
14,60,0,0,1691849748838.937,28.14208984375,386.0,91.0,0.0,,,353.0,91.0
15,60,0,0,1691849748874.765,35.827880859375,386.0,91.0,0.0,,,353.0,91.0
16,60,0,0,1691849748907.046,32.281005859375,386.0,90.5,0.5,,,353.0,91.0
17,60,0,0,1691849748943.159,36.113037109375,386.0,91.0,0.5,,,353.0,91.0
18,60,0,0,1691849748978.28,35.12109375,386.0,91.0,0.0,,,353.0,91.0
19,60,0,0,1691849749011.024,32.743896484375,386.0,91.0,0.0,,,353.0,91.0
20,60,0,0,1691849749040.314,29.2900390625,386.0,91.0,0.0,,,353.0,91.0
21,60,0,0,1691849749075.166,34.85205078125,386.0,91.0,0.0,,,353.0,91.0
22,60,0,0,1691849749110.356,35.18994140625,386.0,90.5,0.5,,,353.0,91.0
23,60,0,0,1691849749143.289,32.93310546875,387.0,90.5,1.0,,,355.0,91.0
24,60,0,0,1691849749178.401,35.11181640625,388.0,90.5,1.0,,,355.0,91.0
25,60,0,0,1691849749211.71,33.30908203125,390.0,90.5,2.0,,,357.0,91.0
26,60,0,0,1691849749242.754,31.0439453125,393.0,90.5,3.0,,,360.0,91.0
27,60,0,0,1691849749279.037,36.283203125,396.0,90.5,3.0,,,364.0,91.0
28,60,0,0,1691849749308.951,29.913818359375,399.0,90.5,3.0,,,366.5,91.0
29,60,0,0,1691849749343.266,34.315185546875,405.0,90.5,6.0,,,372.0,91.0
30,60,0,0,1691849749378.984,35.7177734375,409.0,90.5,4.0,,,376.0,91.0
31,60,0,0,1691849749410.173,31.189208984375,414.0,90.5,5.0,,,382.0,91.0
32,60,1,0,1691849749442.401,32.227783203125,420.0,90.0,6.021,,,386.5,91.0
33,60,0,0,1691849749478.048,35.647216796875,427.0,90.0,7.0,0,0.5,393.5,91.0
34,60,0,2,1691849749510.067,32.018798828125,433.0,90.0,6.0,0,0.5,400.0,91.0
35,60,0,0,1691849749542.415,32.34814453125,440.0,90.0,7.0,0,0.0,408.0,90.5
36,60,0,0,1691849749578.249,35.833984375,448.0,90.5,8.016,0,0.37370465934182984,415.5,90.0
37,60,0,0,1691849749610.673,32.424072265625,456.0,92.0,8.139,0,0.0,423.5,90.0
38,60,0,0,1691849749643.023,32.349853515625,464.0,93.5,8.139,0,0.5,431.5,89.5
39,60,0,0,1691849749679.019,35.99609375,472.0,96.5,8.544,0,1.0,440.0,89.0
40,60,0,0,1691849749710.906,31.886962890625,480.0,99.5,8.544,0,1.5664525479265754,448.5,89.0
41,60,0,0,1691849749737.996,27.090087890625,488.0,103.5,8.944,0,2.2421771764439216,457.5,90.0
42,60,0,0,1691849749774.149,36.15283203125,495.0,108.5,8.602,0,2.4578640911187484,467.0,92.0
43,60,0,0,1691849749806.169,32.02001953125,503.0,114.0,9.708,0,2.4578640911187484,475.0,95.0
44,60,0,0,1691849749842.514,36.344970703125,509.0,120.5,8.846,0,2.4596747752497814,484.5,99.0
45,60,0,0,1691849749878.563,36.049072265625,515.0,127.5,9.22,0,2.4993242329921226,493.0,104.0
46,60,0,0,1691849749910.915,32.35205078125,521.0,135.5,10.0,0,3.141659836010098,502.0,109.5
47,60,0,0,1691849749943.202,32.286865234375,526.0,145.0,10.735,0,3.0805221332460104,509.5,116.5
48,60,0,0,1691849749975.113,31.9111328125,530.0,154.5,10.308,0,3.4708873250984955,517.0,124.5
49,60,0,0,1691849750006.611,31.498046875,532.0,165.0,10.689,0,3.3533743163949095,524.0,134.0
50,60,0,0,1691849750039.117,32.505859375,535.0,175.5,10.92,0,2.934202526845494,528.0,142.5
51,60,0,0,1691849750076.915,37.798095703125,535.5,186.0,10.512,0,4.272001872658765,534.0,153.0
52,60,0,0,1691849750105.949,29.033935546875,535.0,197.0,11.011,0,4.116466373579937,536.0,164.0
53,60,0,0,1691849750138.839,32.89013671875,533.5,208.0,11.102,0,4.031128874149275,539.0,175.0
54,60,0,0,1691849750174.734,35.894775390625,530.0,218.5,11.068,0,3.519093721195322,539.0,186.5
55,60,0,0,1691849750207.117,32.383056640625,527.0,228.5,10.44,0,4.09843387691047,539.0,198.0
56,60,0,0,1691849750242.281,35.1640625,522.0,238.5,11.18,0,3.7947331922020733,537.0,209.5
57,60,0,0,1691849750278.019,35.738037109375,516.0,247.5,10.817,0,4.406000912017275,534.0,220.5
58,60,0,0,1691849750310.037,32.01806640625,509.0,255.5,10.63,0,4.919349550499512,531.0,231.5
59,60,0,0,1691849750342.23,32.19287109375,502.0,264.0,11.011,0,4.160251471689218,525.0,241.5
60,60,0,0,1691849750376.398,34.16796875,493.0,270.0,10.817,0,4.233243907726225,519.0,250.5
61,60,0,0,1691849750410.851,34.453125,484.0,276.5,11.102,0,4.404543109109038,511.0,260.0
62,60,0,0,1691849750442.629,31.77783203125,474.0,281.5,11.18,0,3.8829013735765883,503.0,268.0
63,60,0,0,1691849750478.307,35.677978515625,464.0,285.0,10.595,0,4.346141418921587,493.5,275.0
64,60,0,0,1691849750510.346,32.0390625,452.0,288.0,12.369,0,4.2485291572496005,483.5,281.5
65,60,0,0,1691849750538.32,27.97412109375,442.0,289.5,10.112,0,4.388941357101978,473.0,286.5
66,60,0,3,1691849750574.254,35.933837890625,430.5,290.0,11.511,0,4.850712500726646,462.0,290.5
67,60,0,0,1691849750611.091,36.837158203125,420.0,289.5,10.512,0,4.648000858480982,450.0,293.0
68,60,0,0,1691849750638.531,27.43994140625,409.5,289.5,10.5,0,4.365441039768852,439.0,294.0
69,60,0,0,1691849750674.794,36.262939453125,398.0,289.5,11.5,0,4.090602849728646,428.5,294.0
70,60,0,0,1691849750710.202,35.407958984375,388.0,289.5,10.0,0,3.5,419.0,293.0
71,60,0,0,1691849750742.391,32.189208984375,376.5,289.5,11.5,0,1.0,407.5,290.5
72,60,0,0,1691849750777.972,35.580810546875,366.0,290.0,10.512,0,0.0,396.0,289.5
73,60,0,0,1691849750810.793,32.821044921875,354.0,290.0,12.0,0,1.0,385.5,288.5
74,60,0,0,1691849750839.135,28.342041015625,342.5,290.5,11.511,0,1.141563585970767,373.5,288.5
75,60,0,0,1691849750878.276,39.140869140625,330.0,290.5,12.5,0,0.5,362.0,289.5
76,60,0,0,1691849750910.337,32.06103515625,318.0,290.0,12.01,0,0.21718612138155197,349.0,290.0
77,60,0,0,1691849750942.224,31.88720703125,306.0,290.0,12.0,0,1.0,337.0,289.5
78,60,0,0,1691849750978.476,36.251953125,294.0,290.5,12.01,0,0.24978326827310693,324.0,290.0
79,60,0,0,1691849751010.284,31.807861328125,280.0,291.0,14.009,0,0.5,311.5,290.5
80,60,0,0,1691849751042.23,31.946044921875,268.0,291.0,12.0,0,0.20815272356089481,299.0,290.5
81,60,0,0,1691849751078.493,36.262939453125,254.0,291.0,14.0,0,0.3212237746117266,285.0,290.5
82,60,0,0,1691849751110.155,31.662109375,240.0,291.0,14.0,0,0.5,271.5,290.5
83,60,0,0,1691849751142.717,32.56201171875,226.5,291.0,13.5,0,0.5,258.5,290.5
84,60,0,0,1691849751178.593,35.8759765625,214.0,291.0,12.5,0,0.5,244.5,290.5
85,60,0,0,1691849751210.712,32.118896484375,199.0,291.0,15.0,0,0.5,231.0,290.5
86,60,0,0,1691849751242.41,31.697998046875,184.0,292.0,15.033,0,0.5,216.0,291.5
87,60,0,0,1691849751278.309,35.899169921875,170.0,292.0,14.0,0,0.5,201.0,291.5
88,60,0,0,1691849751308.726,30.4169921875,156.0,292.0,14.0,0,0.299335547356994,187.0,291.5
89,60,0,4,1691849751340.433,31.70703125,140.5,292.0,15.5,0,0.5,171.0,291.5
