Frame,PWM,Meta,Tiempo vuelta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,,0,,0,1693663041038.223,,411.0,107.5,,,,382.0,125.0
2,,0,,0,1693663041068.709,30.486083984375,411.0,107.5,0.0,,,382.0,124.5
3,,0,,0,1693663041105.068,36.359130859375,411.0,107.5,0.0,,,382.0,125.0
4,,0,,0,1693663041136.752,31.683837890625,411.0,107.5,0.0,,,382.0,124.5
5,,0,,0,1693663041168.448,31.696044921875,411.0,107.5,0.0,,,382.0,125.0
6,,0,,0,1693663041200.029,31.5810546875,411.0,107.5,0.0,,,382.0,124.5
7,,0,,0,1693663041232.682,32.65283203125,411.0,107.5,0.0,,,382.0,124.5
8,,0,,0,1693663041268.943,36.26123046875,411.0,107.5,0.0,,,382.0,124.5
9,,0,,0,1693663041304.915,35.971923828125,411.0,107.5,0.0,,,382.0,124.0
10,,0,,0,1693663041336.972,32.056884765625,411.0,107.5,0.0,,,382.0,124.5
11,,0,,0,1693663041369.85,32.878173828125,411.0,107.5,0.0,,,382.0,124.5
12,,0,,0,1693663041403.966,34.115966796875,411.0,107.5,0.0,,,382.0,124.0
13,,0,,0,1693663041437.367,33.40087890625,411.0,107.5,0.0,,,382.0,124.5
14,,0,,0,1693663041468.355,30.988037109375,411.0,107.5,0.0,,,382.0,124.5
15,,0,,0,1693663041504.764,36.408935546875,411.0,107.5,0.0,,,382.0,124.5
16,,0,,0,1693663041536.548,31.7841796875,411.0,107.5,0.0,,,382.0,125.0
17,50,0,,0,1693663041564.228,27.679931640625,411.0,107.5,0.0,,,382.0,125.0
18,50,0,,0,1693663041603.396,39.16796875,411.0,107.5,0.0,,,382.0,124.5
19,50,0,,0,1693663041636.502,33.10595703125,411.0,107.5,0.0,,,382.0,124.5
20,50,0,,0,1693663041668.715,32.213134765625,411.0,107.0,0.5,,,382.0,124.0
21,50,0,,0,1693663041705.007,36.2919921875,413.0,106.5,2.062,,,384.0,124.0
22,50,0,,0,1693663041736.172,31.1650390625,414.0,106.0,1.118,,,385.0,122.5
23,50,0,,0,1693663041768.907,32.73486328125,416.0,105.0,2.236,,,386.0,121.5
24,50,0,,0,1693663041804.856,35.948974609375,418.0,103.5,2.5,,,388.0,120.5
25,50,1,,0,1693663041837.562,32.7060546875,420.0,102.0,2.5,,,390.0,119.5
26,50,0,,0,1693663041869.196,31.634033203125,423.0,100.0,3.606,,,394.0,117.5
27,50,0,,0,1693663041904.95,35.75390625,426.0,98.5,3.354,,,396.0,115.5
28,50,0,,0,1693663041936.464,31.51416015625,429.0,96.0,3.905,,,400.0,114.5
29,50,0,,0,1693663041969.507,33.04296875,433.0,94.0,4.472,,,403.0,112.0
30,50,0,,2,1693663042005.107,35.599853515625,438.0,92.0,5.385,,,407.0,109.5
31,50,0,,0,1693663042037.833,32.72607421875,441.5,89.0,4.61,,,411.0,107.5
32,50,0,,0,1693663042064.203,26.369873046875,445.5,87.0,4.472,0,0.8944271909999032,415.0,104.5
33,50,0,,0,1693663042102.581,38.378173828125,450.0,85.0,4.924,0,0.2,419.0,102.5
34,50,0,,0,1693663042136.258,33.677001953125,455.0,82.5,5.59,0,0.22360679774999168,423.5,100.0
35,50,0,,0,1693663042168.743,32.48486328125,460.0,81.0,5.22,0,0.3841106397986879,429.0,96.5
36,50,0,,0,1693663042204.004,35.260986328125,465.5,79.0,5.852,0,0.09284766908853385,434.0,93.5
37,50,0,,0,1693663042238.133,34.129150390625,471.0,77.5,5.701,0,0.37962830118264523,438.0,91.5
38,50,0,,0,1693663042268.221,30.087890625,475.5,76.5,4.61,0,0.22360679774999168,442.0,88.5
39,50,0,,0,1693663042305.148,36.927001953125,481.0,76.5,5.5,0,0.15230192477005586,447.0,86.5
40,50,0,,0,1693663042336.749,31.60107421875,486.0,75.5,5.099,0,0.0,451.0,84.5
41,50,0,,0,1693663042369.375,32.6259765625,490.0,75.5,4.0,0,0.7662610281769211,456.0,83.0
42,50,0,,0,1693663042400.167,30.7919921875,496.0,75.5,6.0,0,0.8116397748309278,461.0,81.5
43,50,0,,0,1693663042434.666,34.4990234375,500.0,75.5,4.0,0,0.4698967117442246,465.5,79.5
44,50,0,,0,1693663042468.101,33.43505859375,506.0,76.0,6.021,0,0.9647638212377309,471.0,78.5
45,50,0,,0,1693663042504.696,36.594970703125,510.0,76.5,4.031,0,0.65079137345597,474.0,77.5
46,50,0,,0,1693663042536.136,31.43994140625,515.0,77.0,5.025,0,0.5,479.5,77.0
47,50,0,,0,1693663042568.136,32.0,520.0,78.5,5.22,0,0.29417420270727324,485.0,76.0
48,50,0,,0,1693663042599.399,31.262939453125,525.0,79.5,5.099,0,0.5,489.5,76.0
49,50,0,,0,1693663042631.604,32.205078125,530.0,81.0,5.22,0,0.0,495.0,75.5
50,50,0,,0,1693663042668.129,36.52490234375,535.5,82.5,5.701,0,0.0,499.5,75.5
51,50,0,,0,1693663042703.163,35.0341796875,540.0,85.0,5.148,0,0.08304547985374469,505.0,76.0
52,50,0,,0,1693663042735.416,32.2529296875,545.0,87.0,5.385,0,0.0995037190209989,511.0,76.5
53,50,0,,0,1693663042767.352,31.93603515625,550.0,90.0,5.831,0,0.047891314261065736,516.5,77.5
54,50,0,,0,1693663042803.179,35.826904296875,555.0,92.5,5.59,0,0.39223227027637364,522.0,78.5
55,50,0,,0,1693663042835.212,32.032958984375,559.5,96.0,5.701,0,0.09578262852213147,528.0,80.5
56,50,0,,0,1693663042867.31,32.09814453125,564.0,99.5,5.701,0,0.5700877125495603,534.0,81.5
57,50,0,,0,1693663042903.339,36.029052734375,568.0,103.5,5.657,0,0.04856429311788115,539.0,84.5
58,50,0,,0,1693663042935.362,32.02294921875,573.0,107.5,6.403,0,0.27854300726558834,544.5,86.5
59,50,0,,0,1693663042965.983,30.620849609375,577.0,112.5,6.403,0,0.0,550.0,90.0
60,50,0,,0,1693663042999.156,33.173095703125,581.0,116.5,5.657,0,0.1754116038614233,556.0,93.5
61,50,0,,0,1693663043031.387,32.23095703125,585.0,122.0,6.801,0,0.8770580193070354,560.0,97.5
62,50,0,,0,1693663043063.659,32.27197265625,587.0,127.5,5.852,0,0.7071067811865476,565.0,101.5
63,50,0,,0,1693663043100.032,36.373046875,591.0,132.5,6.403,0,0.7027819284987605,570.0,106.0
64,50,0,,0,1693663043131.64,31.60791015625,593.0,139.0,6.801,0,1.0932163332202602,574.0,110.5
65,50,0,,0,1693663043167.522,35.882080078125,595.0,145.5,6.801,0,0.7071067811865476,579.0,115.5
66,50,0,,0,1693663043203.163,35.64111328125,596.0,151.5,6.083,0,1.2498648575594398,582.0,120.0
67,50,0,,0,1693663043235.141,31.97802734375,598.0,158.0,6.801,0,0.25630729731506224,586.0,125.5
68,50,0,,0,1693663043266.96,31.81884765625,599.0,164.5,6.576,0,0.6246950475544243,589.0,131.0
69,50,0,,0,1693663043303.048,36.088134765625,600.0,171.0,6.576,0,0.6616931598844353,592.0,138.0
70,50,0,,0,1693663043335.093,32.044921875,600.0,178.0,7.0,0,0.5146502354656655,594.0,144.0
71,50,0,,0,1693663043366.998,31.905029296875,600.0,184.5,6.5,0,0.0821994936526366,596.0,151.0
72,50,0,,0,1693663043403.157,36.158935546875,598.0,192.0,7.762,0,0.0,598.0,158.0
73,50,0,,0,1693663043436.419,33.261962890625,598.0,199.0,7.0,0,0.0,599.0,164.5
74,50,0,,0,1693663043463.268,26.84912109375,596.0,205.0,6.325,0,1.0,599.0,171.5
75,50,0,,0,1693663043499.699,36.430908203125,594.0,212.0,7.28,0,1.0,599.0,178.5
76,50,0,,0,1693663043531.677,31.97802734375,591.0,219.0,7.616,0,0.5797409637607185,599.0,186.0
77,50,0,,0,1693663043565.217,33.5400390625,588.0,225.5,7.159,0,0.0,598.0,192.5
78,50,0,,0,1693663043601.103,35.885986328125,585.0,232.0,7.159,0,1.5811388300841898,596.0,200.0
79,50,0,,0,1693663043634.017,32.9140625,581.0,238.5,7.632,0,0.5494422557947093,596.0,207.0
80,50,0,,0,1693663043663.09,29.072998046875,577.0,244.0,6.801,0,0.3282660821493176,593.0,213.5
81,50,0,,0,1693663043699.75,36.659912109375,572.0,249.5,7.433,0,0.4889012070387564,590.0,220.0
82,50,0,,0,1693663043731.625,31.875,567.0,254.5,7.071,0,0.4889012070387564,587.0,226.5
83,50,0,,0,1693663043764.02,32.39501953125,561.0,259.5,7.81,0,0.06551217820802695,584.0,233.5
84,50,0,,0,1693663043799.572,35.552001953125,556.0,264.0,6.727,0,0.735214622093791,579.0,240.0
85,50,0,,0,1693663043831.723,32.15087890625,548.0,268.0,8.944,0,0.20180183819885933,575.0,246.5
86,50,0,,0,1693663043863.8,32.0771484375,542.0,272.0,7.211,0,0.7071067811865476,568.0,252.5
87,50,0,,0,1693663043903.296,39.495849609375,535.0,275.5,7.826,0,0.38411063979870247,564.0,257.5
88,50,0,,0,1693663043935.185,31.88916015625,528.0,278.5,7.616,0,1.1149412193707664,556.0,262.5
89,50,0,,0,1693663043967.199,32.013916015625,520.0,281.0,8.382,0,1.3416407864998738,551.0,268.0
90,50,0,,0,1693663044003.065,35.865966796875,512.0,283.0,8.246,0,1.5254255396193643,544.0,272.5
91,50,0,,0,1693663044035.037,31.97216796875,504.0,284.0,8.062,0,0.8944271909999159,536.0,276.0
92,50,0,,0,1693663044067.355,32.31787109375,496.0,285.5,8.139,0,0.8534918135882116,529.0,279.0
93,50,0,,0,1693663044103.085,35.72998046875,488.0,285.5,8.0,0,1.551029964306937,522.0,282.0
94,50,0,,0,1693663044135.371,32.2861328125,480.0,285.5,8.0,0,1.212678125181665,513.0,284.0
95,50,0,,0,1693663044167.333,31.9619140625,472.0,284.5,8.062,0,1.6124515496597311,505.0,285.5
96,50,0,,0,1693663044203.312,35.97900390625,465.5,283.5,6.576,0,0.46072133762544243,498.5,285.5
97,50,0,,0,1693663044234.972,31.659912109375,458.0,281.5,7.762,0,0.5,491.0,286.0
98,50,0,,0,1693663044267.262,32.2900390625,451.5,279.0,6.964,0,0.5,483.0,286.0
99,50,0,,0,1693663044303.071,35.80908203125,444.0,277.0,7.762,0,0.0,476.0,285.0
100,50,0,,3,1693663044335.243,32.171875,438.0,273.5,6.946,0,0.038014296063485276,469.0,284.0
101,50,0,,0,1693663044367.657,32.4140625,432.5,271.5,5.852,0,0.16103915660019305,463.0,283.0
102,50,0,,0,1693663044405.002,37.344970703125,428.0,268.0,5.701,0,0.35897907930886497,457.0,281.5
103,50,0,,0,1693663044435.612,30.610107421875,422.0,265.5,6.5,0,0.1288313252801515,451.0,279.0
