Frame,PWM,Meta,Tiempo vuelta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,,0,,0,1691848585935.337,,399.0,90.5,,,,367.0,91.0
2,,0,,0,1691848585973.662,38.3251953125,399.0,90.5,0.0,,,367.0,91.0
3,,0,,0,1691848586005.041,31.37890625,399.0,90.5,0.0,,,367.0,91.0
4,,0,,0,1691848586037.153,32.112060546875,399.0,91.0,0.5,,,367.0,91.0
5,,0,,0,1691848586073.98,36.826904296875,399.0,90.5,0.5,,,367.0,91.0
6,,0,,0,1691848586105.397,31.4169921875,399.0,90.5,0.0,,,367.0,91.0
7,,0,,0,1691848586137.413,32.01611328125,399.0,90.5,0.0,,,367.0,91.0
8,,0,,0,1691848586173.721,36.307861328125,399.0,91.0,0.5,,,367.0,91.0
9,,0,,0,1691848586205.292,31.571044921875,399.0,91.0,0.0,,,367.0,91.0
10,,0,,0,1691848586236.768,31.47607421875,400.0,90.5,1.118,,,367.0,91.0
11,,0,,0,1691848586273.211,36.44287109375,399.0,90.5,1.0,,,367.0,91.0
12,,0,,0,1691848586304.668,31.45703125,399.0,90.5,0.0,,,,
13,,0,,0,1691848586338.489,33.821044921875,399.0,90.5,0.0,,,367.0,91.0
14,,0,,0,1691848586371.437,32.947998046875,399.0,91.0,0.5,,,367.0,91.0
15,,0,,0,1691848586403.567,32.1298828125,399.0,90.5,0.5,,,367.0,91.0
16,,0,,0,1691848586434.791,31.22412109375,399.0,90.5,0.0,,,367.0,91.0
17,,0,,0,1691848586471.156,36.364990234375,399.0,90.5,0.0,,,367.0,91.0
18,,0,,0,1691848586504.793,33.636962890625,399.0,91.0,0.5,,,367.0,91.0
19,,0,,0,1691848586538.311,33.51806640625,399.0,91.0,0.0,,,367.0,91.0
20,,0,,0,1691848586572.813,34.501953125,399.0,90.5,0.5,,,367.0,91.0
21,,0,,0,1691848586603.921,31.10791015625,399.0,91.0,0.5,,,367.0,91.0
22,,0,,0,1691848586637.093,33.172119140625,399.0,90.5,0.5,,,367.0,91.0
23,,0,,0,1691848586672.317,35.223876953125,399.0,90.5,0.0,,,367.0,91.0
24,,0,,0,1691848586705.354,33.037109375,399.0,90.5,0.0,,,367.0,91.0
25,,0,,0,1691848586737.065,31.7109375,399.0,91.0,0.5,,,367.0,91.0
26,,0,,0,1691848586772.568,35.503173828125,399.0,90.5,0.5,,,367.0,91.0
27,,0,,0,1691848586804.415,31.846923828125,399.0,90.5,0.0,,,367.0,91.0
28,,0,,0,1691848586832.063,27.64794921875,399.0,90.5,0.0,,,367.0,91.0
29,,0,,0,1691848586867.751,35.68798828125,399.0,90.5,0.0,,,367.0,91.0
30,50,0,,0,1691848586904.806,37.054931640625,400.0,90.5,1.0,,,367.0,91.0
31,50,0,,0,1691848586936.041,31.235107421875,400.0,90.5,0.0,,,367.0,91.0
32,50,0,,0,1691848586972.061,36.02001953125,400.0,90.5,0.0,,,367.0,91.0
33,50,0,,0,1691848587003.851,31.7900390625,400.0,90.5,0.0,,,367.0,91.0
34,50,0,,0,1691848587036.316,32.46484375,402.0,90.5,2.0,,,369.0,91.0
35,50,0,,0,1691848587072.147,35.8310546875,403.0,90.5,1.0,,,370.0,91.0
36,50,0,,0,1691848587104.11,31.963134765625,405.0,90.5,2.0,,,372.0,91.0
37,50,0,,0,1691848587136.639,32.52880859375,408.0,90.5,3.0,,,375.0,91.0
38,50,0,,0,1691848587172.98,36.341064453125,411.0,90.5,3.0,,,377.0,91.0
39,50,0,,0,1691848587204.111,31.131103515625,414.0,90.5,3.0,,,380.5,91.0
40,50,0,,0,1691848587236.644,32.532958984375,417.0,90.0,3.041,,,384.0,91.0
41,50,1,,0,1691848587268.642,31.998046875,421.0,90.0,4.0,,,388.0,91.0
42,50,0,,0,1691848587300.617,31.974853515625,425.0,90.0,4.0,,,392.0,91.0
43,50,0,,0,1691848587335.934,35.317138671875,431.0,90.0,6.0,,,397.0,91.0
44,50,0,,2,1691848587372.245,36.31103515625,435.5,90.0,4.5,,,402.0,91.0
45,50,0,,0,1691848587403.939,31.69384765625,441.0,90.0,5.5,0,0.5,408.0,91.0
46,50,0,,0,1691848587434.355,30.416015625,447.0,90.0,6.0,0,0.5,414.0,91.0
47,50,0,,0,1691848587469.943,35.588134765625,453.0,91.0,6.083,0,0.0,420.0,90.0
48,50,0,,0,1691848587504.769,34.825927734375,459.0,92.0,6.083,0,0.0,426.0,90.0
49,50,0,,0,1691848587536.55,31.781005859375,465.0,93.0,6.083,0,1.0,431.0,89.0
50,50,0,,0,1691848587572.301,35.7509765625,469.0,95.0,4.472,0,1.0,436.0,89.0
51,50,0,,0,1691848587604.145,31.843994140625,475.0,97.0,6.325,0,1.0,442.0,89.0
52,50,0,,0,1691848587636.021,31.8759765625,481.0,99.5,6.5,0,0.1643989873053573,448.0,90.0
53,50,0,,0,1691848587672.031,36.010009765625,485.5,101.5,4.924,0,0.3287979746107146,455.0,91.0
54,50,0,,0,1691848587704.285,32.25390625,491.0,105.0,6.519,0,0.3287979746107146,461.0,92.0
55,50,0,,0,1691848587736.331,32.046142578125,497.0,108.5,6.946,0,0.0,467.0,94.0
56,50,0,,0,1691848587771.959,35.6279296875,501.0,113.0,6.021,0,0.31622776601684244,473.0,96.0
57,50,0,,0,1691848587803.923,31.964111328125,506.5,117.5,7.106,0,0.6153846153846154,479.0,98.0
58,50,0,,0,1691848587835.922,31.9990234375,511.0,122.0,6.364,0,0.25383654128339034,485.0,101.0
59,50,0,,0,1691848587872.082,36.159912109375,515.0,127.5,6.801,0,0.0,491.0,105.0
60,50,0,,0,1691848587903.865,31.782958984375,519.0,132.5,6.403,0,0.3321819194149552,497.0,109.0
61,50,0,,0,1691848587936.302,32.43701171875,523.0,138.5,7.211,0,0.24625914065560714,502.0,113.5
62,50,0,,0,1691848587972.176,35.8740234375,526.5,145.0,7.382,0,0.3535533905932738,508.0,118.5
63,50,0,,0,1691848588004.683,32.507080078125,529.0,151.5,6.964,0,0.44112877325631805,513.0,124.0
64,50,0,,0,1691848588037.161,32.477783203125,532.0,158.5,7.616,0,0.31234752377721214,517.0,129.5
65,50,0,,0,1691848588071.781,34.6201171875,534.0,166.0,7.762,0,0.8320502943378753,522.0,135.5
66,50,0,,0,1691848588103.931,32.14990234375,534.5,173.5,7.517,0,0.7450140076264617,526.0,142.5
67,50,0,,0,1691848588135.923,31.9921875,536.0,181.5,8.139,0,0.21538744758533163,528.0,149.5
68,50,0,,0,1691848588172.297,36.3740234375,536.0,190.0,8.5,0,0.3282660821493176,531.0,157.0
69,50,0,,0,1691848588203.839,31.5419921875,535.5,198.0,8.016,0,0.5797409637607185,533.0,164.5
70,50,0,,0,1691848588235.866,32.02685546875,534.0,205.5,7.649,0,0.49143609346718714,535.0,173.5
71,50,0,,0,1691848588271.917,36.051025390625,532.0,213.5,8.246,0,0.8907279194092118,535.0,181.0
72,50,0,,0,1691848588304.006,32.089111328125,530.0,221.5,8.246,0,0.0,536.0,189.0
73,50,0,,0,1691848588336.923,32.9169921875,526.5,229.0,8.276,0,0.5614045753966798,535.0,197.0
74,50,0,,0,1691848588368.379,31.455810546875,524.0,236.0,7.433,0,0.882522608121856,535.0,205.0
75,50,0,,0,1691848588400.32,31.941162109375,519.0,243.0,8.602,0,0.7276068751090403,533.0,212.5
76,50,0,,0,1691848588436.417,36.096923828125,515.0,249.0,7.211,0,0.6063390625908669,531.0,220.0
77,50,0,,0,1691848588468.572,32.155029296875,510.5,255.5,7.906,0,0.9363892446618207,528.0,228.0
