Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,50,0,0,1693663776554.67,,409.0,109.5,,,,380.0,125.0
2,50,0,0,1693663776586.919,32.2490234375,409.0,109.5,0.0,,,380.0,125.0
3,50,0,0,1693663776618.172,31.253173828125,409.0,109.5,0.0,,,380.0,125.5
4,50,0,0,1693663776653.607,35.434814453125,409.0,109.5,0.0,,,380.0,125.5
5,50,0,0,1693663776686.362,32.755126953125,409.0,109.5,0.0,,,380.0,125.0
6,50,0,0,1693663776717.958,31.595947265625,409.0,109.5,0.0,,,380.0,125.5
7,50,0,0,1693663776753.766,35.80810546875,409.0,109.5,0.0,,,380.0,125.0
8,50,0,0,1693663776785.305,31.538818359375,409.0,109.5,0.0,,,380.0,125.5
9,50,0,0,1693663776817.303,31.998046875,409.0,109.5,0.0,,,380.0,125.0
10,50,0,0,1693663776853.207,35.904052734375,409.0,109.0,0.5,,,380.0,125.5
11,50,0,0,1693663776886.592,33.385009765625,409.0,109.5,0.5,,,380.0,125.5
12,50,0,0,1693663776917.258,30.666015625,409.0,109.5,0.0,,,380.0,125.5
13,50,0,0,1693663776953.435,36.177001953125,409.0,109.5,0.0,,,380.0,125.0
14,50,0,0,1693663776985.281,31.845947265625,409.0,109.5,0.0,,,380.0,125.5
15,50,0,0,1693663777017.901,32.619873046875,409.0,109.5,0.0,,,380.0,125.5
16,50,0,0,1693663777053.236,35.335205078125,409.0,109.5,0.0,,,380.0,125.5
17,50,0,0,1693663777089.349,36.113037109375,409.0,109.5,0.0,,,380.0,125.5
18,50,0,0,1693663777121.852,32.5029296875,409.0,109.0,0.5,,,380.0,125.0
19,50,0,0,1693663777157.833,35.98095703125,411.0,108.5,2.062,,,380.0,124.5
20,50,0,0,1693663777189.549,31.716064453125,411.0,107.5,1.0,,,382.0,124.0
21,50,0,0,1693663777222.042,32.492919921875,413.0,106.5,2.236,,,384.0,123.5
22,50,0,0,1693663777253.144,31.10205078125,415.0,105.5,2.236,,,386.0,122.5
23,50,0,0,1693663777289.406,36.261962890625,417.0,104.5,2.236,,,388.0,121.0
24,50,0,0,1693663777321.194,31.7880859375,419.0,103.0,2.5,,,390.0,120.5
25,50,1,0,1693663777358.278,37.083984375,422.0,101.5,3.354,,,392.0,118.5
26,50,0,0,1693663777389.532,31.25390625,425.0,99.0,3.905,,,396.0,116.0
27,50,0,0,1693663777422.341,32.80908203125,429.0,96.5,4.717,,,400.0,113.5
28,50,0,0,1693663777457.414,35.072998046875,434.0,94.0,5.59,,,403.5,112.5
29,50,0,2,1693663777490.09,32.676025390625,438.0,91.5,4.717,,,408.0,109.0
30,50,0,0,1693663777516.763,26.6728515625,443.0,89.0,5.59,0,0.4472135954999579,413.0,107.0
31,50,0,0,1693663777557.851,41.088134765625,448.0,86.0,5.831,0,0.6000000000000114,418.0,104.5
32,50,0,0,1693663777590.072,32.220947265625,454.5,83.0,7.159,0,0.12803687993289598,423.0,100.5
33,50,0,0,1693663777622.422,32.35009765625,460.5,81.0,6.325,0,0.42399915200253196,429.0,97.0
34,50,0,0,1693663777656.788,34.365966796875,467.0,79.0,6.801,0,0.42399915200253196,434.0,93.5
35,50,0,0,1693663777689.696,32.907958984375,473.0,77.5,6.185,0,0.22360679774999168,439.5,90.5
36,50,0,0,1693663777721.107,31.410888671875,479.5,76.5,6.576,0,0.4287464628562916,445.5,87.0
37,50,0,0,1693663777758.776,37.6689453125,487.0,75.5,7.566,0,0.31429363309630426,452.0,84.5
38,50,0,0,1693663777789.79,31.01416015625,493.0,75.5,6.0,0,0.9486832980505229,459.0,82.5
39,50,0,0,1693663777822.043,32.2529296875,500.0,76.0,7.018,0,0.8454968154078915,465.0,80.5
40,50,0,0,1693663777857.044,35.0009765625,507.0,76.0,7.0,0,0.8488746876271654,472.5,78.5
41,50,0,0,1693663777889.494,32.449951171875,514.0,77.5,7.159,0,0.4181572566983434,479.0,77.0
42,50,0,0,1693663777921.147,31.653076171875,521.0,79.0,7.159,0,0.4295320902958056,486.5,76.0
43,50,0,0,1693663777957.606,36.458984375,528.0,81.0,7.28,0,0.4987293499153736,493.0,76.0
44,50,0,0,1693663777989.201,31.594970703125,536.0,83.0,8.246,0,0.0,500.5,76.0
45,50,0,0,1693663778022.274,33.072998046875,542.0,86.0,6.708,0,0.1746075739424005,508.5,76.5
46,50,0,0,1693663778057.054,34.780029296875,550.0,89.5,8.732,0,0.4190581774617509,516.0,77.5
47,50,0,0,1693663778087.819,30.76513671875,556.0,93.5,7.211,0,1.3049253575125497,524.0,78.5
48,50,0,0,1693663778121.143,33.323974609375,562.0,98.5,7.81,0,0.9701425001453319,532.0,81.0
49,50,0,0,1693663778158.215,37.072021484375,568.0,103.0,7.5,0,1.118033988749895,539.5,83.5
50,50,0,0,1693663778189.763,31.5478515625,574.0,109.0,8.485,0,0.2290393337255473,546.0,87.5
51,50,0,0,1693663778217.964,28.201171875,579.0,114.5,7.433,0,0.6933752452815246,552.5,92.0
52,50,0,0,1693663778253.05,35.0859375,585.0,121.0,8.846,0,0.0,559.0,96.0
53,50,0,0,1693663778289.835,36.784912109375,589.0,128.5,8.5,0,0.0,566.0,101.5
54,50,0,0,1693663778321.989,32.154052734375,592.0,136.0,8.078,0,0.3535533905932738,572.0,107.5
55,50,0,0,1693663778357.447,35.4580078125,595.0,144.0,8.544,0,0.06726727939965418,578.0,113.5
56,50,0,0,1693663778389.542,32.094970703125,596.0,152.5,8.559,0,1.4696068892549823,583.0,121.0
57,50,0,0,1693663778421.17,31.6279296875,598.0,160.5,8.246,0,1.2941176470588036,587.0,127.5
58,50,0,0,1693663778457.372,36.2021484375,600.0,169.5,9.22,0,0.9284766908852277,591.0,136.0
59,50,0,0,1693663778489.755,32.3828125,600.0,177.5,8.0,0,0.5852057359806362,594.0,143.0
60,50,0,0,1693663778517.167,27.412109375,599.0,186.5,9.055,0,0.17526187135114563,596.0,151.0
61,50,0,0,1693663778557.982,40.81494140625,598.0,195.5,9.055,0,0.10846522890934658,598.0,161.0
62,50,0,0,1693663778590.163,32.18115234375,596.0,204.0,8.732,0,0.9761870601839959,599.0,169.5
63,50,0,0,1693663778623.284,33.120849609375,594.0,213.0,9.22,0,0.1104315260748591,600.0,178.5
64,50,0,0,1693663778657.635,34.35107421875,590.5,221.5,9.192,0,0.16564728911223528,599.0,188.0
65,50,0,0,1693663778689.583,31.947998046875,586.0,229.5,9.179,0,0.34355900058828187,598.0,197.0
66,50,0,0,1693663778716.651,27.06787109375,581.0,237.0,9.014,0,0.4338609156372692,596.0,206.0
67,50,0,0,1693663778753.012,36.361083984375,576.0,244.5,9.014,0,0.16317848796612944,593.0,215.0
68,50,0,0,1693663778788.032,35.02001953125,570.0,251.5,9.22,0,0.3268408264217447,589.0,223.5
69,50,0,0,1693663778822.102,34.070068359375,563.0,257.5,9.22,0,0.5547001962252291,586.0,230.5
70,50,0,0,1693663778856.425,34.322998046875,556.0,263.0,8.902,0,0.5547001962252291,580.0,239.5
71,50,0,0,1693663778889.636,33.2109375,548.0,268.0,9.434,0,0.5423261445466095,575.0,246.5
72,50,0,0,1693663778920.688,31.052001953125,540.0,273.0,9.434,0,0.9761870601839528,568.0,254.5
