Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,50,0,0,1691850048970.217,,390.0,91.0,,,,357.0,90.0
2,50,0,0,1691850049002.149,31.931884765625,390.0,91.0,0.0,,,357.0,90.5
3,50,0,0,1691850049037.459,35.31005859375,390.0,91.0,0.0,,,357.0,90.0
4,50,0,0,1691850049069.486,32.027099609375,390.0,91.0,0.0,,,357.0,90.0
5,50,0,0,1691850049104.64,35.15380859375,390.0,91.0,0.0,,,357.0,90.5
6,50,0,0,1691850049140.912,36.272216796875,390.0,91.0,0.0,,,357.0,90.0
7,50,0,0,1691850049172.773,31.86083984375,390.0,91.0,0.0,,,358.0,90.5
8,50,0,0,1691850049205.053,32.280029296875,390.0,91.0,0.0,,,357.0,91.0
9,50,0,0,1691850049241.126,36.072998046875,390.0,91.0,0.0,,,357.0,90.5
10,50,0,0,1691850049273.056,31.929931640625,390.0,91.0,0.0,,,357.0,90.5
11,50,0,0,1691850049305.146,32.090087890625,390.0,91.0,0.0,,,357.0,90.0
12,50,0,0,1691850049339.546,34.39990234375,390.0,91.0,0.0,,,357.0,90.5
13,50,0,0,1691850049371.406,31.860107421875,390.0,91.0,0.0,,,357.0,90.0
14,50,0,0,1691850049403.322,31.916015625,390.0,91.0,0.0,,,357.0,90.0
15,50,0,0,1691850049440.971,37.64892578125,390.0,91.0,0.0,,,357.0,90.0
16,50,0,0,1691850049472.815,31.843994140625,390.0,91.0,0.0,,,357.0,90.0
17,50,0,0,1691850049504.788,31.97314453125,390.0,91.0,0.0,,,357.0,90.0
18,50,0,0,1691850049540.401,35.61279296875,390.0,91.0,0.0,,,357.0,90.5
19,50,0,0,1691850049572.951,32.550048828125,390.0,91.0,0.0,,,357.0,90.0
20,50,0,0,1691850049604.937,31.986083984375,390.0,91.0,0.0,,,357.0,90.0
21,50,0,0,1691850049636.742,31.804931640625,390.0,91.0,0.0,,,357.0,90.0
22,50,0,0,1691850049668.724,31.982177734375,390.0,91.0,0.0,,,358.0,90.0
23,50,0,0,1691850049700.963,32.23876953125,390.0,91.0,0.0,,,357.0,90.0
24,50,0,0,1691850049737.865,36.902099609375,390.0,91.0,0.0,,,358.0,90.5
25,50,0,0,1691850049773.365,35.5,390.0,91.0,0.0,,,357.0,90.5
26,50,0,0,1691850049805.136,31.77099609375,390.0,91.0,0.0,,,357.0,90.0
27,50,0,0,1691850049840.544,35.407958984375,390.0,91.0,0.0,,,357.0,90.5
28,50,0,0,1691850049872.751,32.20703125,390.0,91.0,0.0,,,357.0,90.0
29,50,0,0,1691850049905.485,32.734130859375,390.0,91.0,0.0,,,357.0,91.0
30,50,0,0,1691850049942.236,36.7509765625,390.0,91.0,0.0,,,357.0,91.0
31,50,0,0,1691850049972.999,30.762939453125,390.0,91.0,0.0,,,357.0,91.0
32,50,0,0,1691850050000.844,27.844970703125,390.0,91.0,0.0,,,358.0,90.5
33,50,0,0,1691850050036.492,35.64794921875,390.0,91.0,0.0,,,357.0,90.0
34,50,0,0,1691850050072.357,35.864990234375,390.0,91.0,0.0,,,357.0,90.5
35,50,0,0,1691850050104.236,31.879150390625,390.0,91.0,0.0,,,358.0,90.5
36,50,0,0,1691850050140.287,36.051025390625,390.0,91.0,0.0,,,357.0,90.5
37,50,0,0,1691850050173.496,33.208984375,390.0,91.0,0.0,,,357.0,90.5
38,50,0,0,1691850050205.131,31.635009765625,390.0,91.0,0.0,,,357.0,90.0
39,50,0,0,1691850050240.545,35.413818359375,390.0,91.0,0.0,,,357.0,90.5
40,50,0,0,1691850050273.403,32.858154296875,391.0,91.0,1.0,,,358.0,90.0
41,50,0,0,1691850050304.627,31.223876953125,392.0,91.0,1.0,,,359.0,90.0
42,50,0,0,1691850050338.68,34.052978515625,393.0,91.0,1.0,,,361.0,90.5
43,50,0,0,1691850050372.338,33.657958984375,395.0,91.0,2.0,,,363.0,91.0
44,50,0,0,1691850050404.941,32.60302734375,398.0,91.0,3.0,,,365.0,91.0
45,50,0,0,1691850050440.196,35.255126953125,401.0,90.5,3.041,,,367.0,91.0
46,50,0,0,1691850050472.654,32.4580078125,404.0,91.0,3.041,,,370.5,91.0
47,50,0,0,1691850050504.448,31.7939453125,407.0,91.0,3.0,,,374.0,91.0
48,50,0,0,1691850050538.578,34.1298828125,411.0,90.5,4.031,,,378.0,91.0
49,50,0,0,1691850050573.487,34.9091796875,416.0,90.5,5.0,,,382.5,91.0
50,50,1,0,1691850050604.698,31.2109375,421.0,91.0,5.025,,,388.0,91.0
51,50,0,0,1691850050640.46,35.761962890625,425.0,91.0,4.0,,,392.0,91.0
52,50,0,0,1691850050668.93,28.469970703125,431.0,90.0,6.083,0,0.0,398.0,91.0
53,50,0,2,1691850050704.349,35.419189453125,435.5,90.5,4.528,0,0.24659848095803125,402.5,91.0
54,50,0,0,1691850050740.026,35.6767578125,441.0,90.0,5.523,0,0.12403473458920845,408.0,91.0
55,50,0,0,1691850050768.502,28.47607421875,447.0,90.5,6.021,0,0.5,414.0,91.0
56,50,0,0,1691850050804.623,36.12109375,453.0,91.0,6.021,0,0.39801487608399,420.0,90.5
57,50,0,0,1691850050841.059,36.43603515625,459.0,92.0,6.083,0,0.8219949365267865,426.0,90.0
58,50,0,0,1691850050872.486,31.427001953125,465.0,93.5,6.185,0,0.11043152607484498,432.0,90.0
59,50,0,0,1691850050904.558,32.072021484375,471.0,95.5,6.325,0,1.267500444595257,438.0,89.0
60,50,0,0,1691850050940.57,36.011962890625,477.0,97.5,6.325,0,0.788932058610525,444.5,89.5
61,50,0,0,1691850050969.225,28.655029296875,483.0,100.5,6.708,0,0.8304547985374044,451.0,90.0
62,50,0,0,1691850051004.61,35.385009765625,489.0,103.5,6.708,0,0.24659848095803125,457.5,92.0
63,50,0,0,1691850051038.447,33.8369140625,495.0,107.0,6.946,0,0.24253562503633297,464.0,93.0
64,50,0,0,1691850051070.435,31.988037109375,499.0,111.0,5.657,0,0.47434164902525244,471.0,95.0
65,50,0,0,1691850051102.719,32.283935546875,505.0,116.0,7.81,0,0.22360679774999168,477.5,98.0
66,50,0,0,1691850051138.416,35.697021484375,509.5,121.0,6.727,0,0.4472135954999579,484.0,100.5
67,50,0,0,1691850051172.442,34.02587890625,515.0,126.5,7.778,0,0.3239170878369084,490.5,104.0
68,50,0,0,1691850051205.085,32.64306640625,519.0,132.0,6.801,0,0.0,497.0,109.0
69,50,0,0,1691850051240.521,35.43603515625,523.0,138.0,7.211,0,1.024295039463157,503.0,113.0
70,50,0,0,1691850051272.903,32.382080078125,526.5,145.5,8.276,0,0.5946353169977425,508.5,119.0
71,50,0,0,1691850051304.364,31.4609375,530.0,152.5,7.826,0,0.7071067811865476,514.0,124.5
72,50,0,0,1691850051340.332,35.968017578125,532.0,160.5,8.246,0,0.8822575465125443,519.0,130.5
73,50,0,0,1691850051373.293,32.9609375,534.0,169.0,8.732,0,0.6947404073297344,524.0,138.5
74,50,0,0,1691850051403.852,30.55908203125,535.5,177.5,8.631,0,1.341640786499912,528.0,145.5
75,50,0,0,1691850051440.372,36.52001953125,536.0,186.0,8.515,0,1.2126781251816166,531.5,153.5
76,50,0,0,1691850051474.523,34.15087890625,535.5,194.5,8.515,0,1.4887556692160246,534.0,162.5
77,50,0,0,1691850051506.393,31.8701171875,534.0,203.5,9.124,0,0.637212890999853,535.0,171.0
78,50,0,0,1691850051540.346,33.952880859375,532.0,212.0,8.732,0,1.350606504883783,537.0,180.0
79,50,0,0,1691850051572.799,32.453125,530.0,220.5,8.732,0,1.1744404390294454,537.0,189.0
80,50,0,0,1691850051603.23,30.430908203125,526.5,229.5,9.657,0,2.054987341316915,537.0,198.0
