Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
1,55,0,0,1690283341901.919,,335.0,87.0,,,,303.0,87.0
2,55,0,0,1690283341935.028,33.109130859375,335.0,87.0,0.0,,,303.0,87.0
3,55,0,0,1690283341969.104,34.075927734375,336.0,87.0,1.0,,,303.0,87.0
4,55,0,0,1690283341999.208,30.10400390625,335.0,87.0,1.0,,,303.0,87.0
5,55,0,0,1690283342032.476,33.26806640625,335.0,87.0,0.0,,,,
6,55,0,0,1690283342063.416,30.93994140625,335.0,87.0,0.0,,,303.0,87.0
7,55,0,0,1690283342096.787,33.37109375,335.0,87.0,0.0,,,303.0,87.0
8,55,0,0,1690283342127.539,30.751953125,335.0,87.0,0.0,,,303.0,87.0
9,55,0,0,1690283342163.521,35.98193359375,335.0,87.0,0.0,,,303.0,87.0
10,55,0,0,1690283342200.227,36.7060546875,335.0,87.0,0.0,,,303.0,87.0
11,55,0,0,1690283342231.297,31.070068359375,335.0,87.0,0.0,,,303.0,87.0
12,55,0,0,1690283342264.726,33.428955078125,335.0,87.0,0.0,,,303.0,87.0
13,55,0,0,1690283342295.956,31.22998046875,335.0,87.0,0.0,,,303.0,87.0
14,55,0,0,1690283342327.095,31.138916015625,335.0,87.0,0.0,,,303.0,87.0
15,55,0,0,1690283342363.74,36.64501953125,335.0,87.0,0.0,,,303.0,87.0
16,55,0,0,1690283342395.875,32.135009765625,335.0,87.0,0.0,,,303.0,87.0
17,55,0,0,1690283342427.244,31.368896484375,335.0,87.0,0.0,,,303.0,87.0
18,55,0,0,1690283342463.307,36.06298828125,335.0,87.0,0.0,,,303.0,87.0
19,55,0,0,1690283342495.972,32.6650390625,335.0,87.0,0.0,,,303.0,87.0
20,55,0,0,1690283342527.58,31.608154296875,335.0,87.0,0.0,,,303.0,87.0
21,55,0,0,1690283342563.996,36.416015625,335.0,87.0,0.0,,,303.0,87.0
22,55,0,0,1690283342599.64,35.643798828125,335.0,87.0,0.0,,,303.0,87.0
23,55,0,0,1690283342631.229,31.589111328125,335.0,87.0,0.0,,,303.0,87.0
24,55,0,0,1690283342667.421,36.19189453125,335.0,87.0,0.0,,,303.0,87.0
25,55,0,0,1690283342695.244,27.822998046875,335.0,87.0,0.0,,,303.0,87.0
26,55,0,0,1690283342731.875,36.631103515625,335.0,87.0,0.0,,,303.0,87.0
27,55,0,0,1690283342767.044,35.1689453125,335.0,87.0,0.0,,,303.0,87.0
28,55,0,0,1690283342798.349,31.30517578125,335.0,87.0,0.0,,,303.0,87.0
29,55,0,0,1690283342830.514,32.164794921875,335.0,87.0,0.0,,,303.0,87.0
30,55,0,0,1690283342867.092,36.578125,335.0,87.0,0.0,,,303.0,87.0
31,55,0,0,1690283342899.078,31.98583984375,335.0,87.0,0.0,,,303.0,87.0
32,55,0,0,1690283342931.586,32.508056640625,335.0,87.0,0.0,,,302.5,87.0
33,55,0,0,1690283342967.153,35.567138671875,335.0,87.0,0.0,,,303.0,87.0
34,55,0,0,1690283342999.204,32.051025390625,335.0,87.0,0.0,,,303.0,87.0
35,55,0,0,1690283343029.211,30.0068359375,336.0,87.0,1.0,,,303.0,87.0
36,55,0,0,1690283343067.887,38.676025390625,336.0,87.0,0.0,,,303.0,87.0
37,55,0,0,1690283343098.574,30.68701171875,336.0,87.0,0.0,,,305.0,87.0
38,55,0,0,1690283343131.466,32.89208984375,338.0,87.0,2.0,,,305.0,87.0
