Fichero,Media,Desviacion,Valor minimo,Valor maximo
guardarVideo.csv,0.8436,0.182,0.6111,3.2549
cruzoMeta.csv,0.1143,0.0167,0.043,0.189
tiempoEntreFrames.csv,21.6132,5.1789,7.97,50.457
recSector.csv,0.156,0.0587,0.0071,0.209
actualizarTracker.csv,18.9767,1.8639,2.448,42.488
dibujo.csv,0.2197,0.1066,0.062,1.0808
procesarFrame.csv,19.9251,6.6352,2.1621,49.396
mostrarFrame.csv,8.8783,1.5571,5.7659,20.594
getSector.csv,0.0409,0.0232,0.0039,0.1511
readquisicion.csv,4.7274,6.3481,0.5859,18.7029
calculoVuelta.csv,0.0229,0.0025,0.02,0.0259
tiempoLeerFrame.csv,0.2503,0.0589,0.145,0.8381
contornoEtiq.csv,1.1531,0.2439,0.6021,2.22
