Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y,Pos Extr X,Pos Extr Y
1,,0,0,1692011749701.116,,402.0,91.0,,,,369.0,91.0,,
2,,0,0,1692011749732.688,31.572021484375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
3,,0,0,1692011749764.337,31.64892578125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
4,,0,0,1692011749795.031,30.694091796875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
5,,0,0,1692011749831.226,36.195068359375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
6,,0,0,1692011749862.947,31.720947265625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
7,,0,0,1692011749898.777,35.830078125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
8,,0,0,1692011749930.354,31.576904296875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
9,,0,0,1692011749963.071,32.717041015625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
10,,0,0,1692011749998.971,35.89990234375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
11,,0,0,1692011750029.45,30.47900390625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
12,,0,0,1692011750062.536,33.0859375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
13,,0,0,1692011750099.282,36.74609375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
14,,0,0,1692011750130.827,31.544921875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
15,,0,0,1692011750162.036,31.208984375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
16,,0,0,1692011750198.734,36.697998046875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
17,,0,0,1692011750230.676,31.942138671875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
18,,0,0,1692011750262.7,32.02392578125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
19,,0,0,1692011750298.09,35.39013671875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
20,,0,0,1692011750330.891,32.801025390625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
21,,0,0,1692011750361.924,31.032958984375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
22,,0,0,1692011750397.642,35.718017578125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
23,,0,0,1692011750431.249,33.60693359375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
24,,0,0,1692011750463.143,31.89404296875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
25,,0,0,1692011750499.323,36.179931640625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
26,,0,0,1692011750530.909,31.5859375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
27,,0,0,1692011750559.87,28.961181640625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
28,,0,0,1692011750596.018,36.14794921875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
29,,0,0,1692011750629.512,33.493896484375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
30,,0,0,1692011750662.149,32.636962890625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
31,,0,0,1692011750696.428,34.279052734375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
32,,0,0,1692011750728.668,32.239990234375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
33,,0,0,1692011750760.443,31.775146484375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
34,,0,0,1692011750796.38,35.936767578125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
35,,0,0,1692011750826.851,30.47119140625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
36,,0,0,1692011750858.765,31.913818359375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
37,,0,0,1692011750899.161,40.39599609375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
38,,0,0,1692011750930.785,31.6240234375,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
39,,0,0,1692011750962.635,31.85009765625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
40,,0,0,1692011750998.823,36.18798828125,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
41,,0,0,1692011751030.872,32.049072265625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
42,58,0,0,1692011751062.481,31.60888671875,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
43,58,0,0,1692011751098.821,36.340087890625,402.0,91.0,0.0,,,369.0,91.0,402.0,91.0
44,58,0,0,1692011751127.747,28.926025390625,403.0,91.0,1.0,,,369.0,91.0,402.0,91.0
45,58,0,0,1692011751159.094,31.346923828125,403.0,91.0,0.0,,,371.0,91.0,404.0,91.0
46,58,0,0,1692011751194.832,35.738037109375,405.0,91.0,2.0,,,372.0,91.0,403.0,91.0
47,58,0,0,1692011751226.705,31.873046875,406.0,91.0,1.0,,,373.0,91.0,407.0,91.0
48,58,0,0,1692011751262.601,35.89599609375,409.0,91.0,3.0,,,376.0,91.0,407.0,91.0
49,58,0,0,1692011751299.754,37.15283203125,411.0,91.0,2.0,,,378.0,91.0,412.0,91.0
50,58,0,0,1692011751327.46,27.7060546875,414.0,91.0,3.0,,,381.0,91.0,413.0,91.0
51,58,0,0,1692011751359.154,31.694091796875,417.0,91.0,3.0,,,384.0,91.0,417.0,91.0
52,58,1,0,1692011751395.126,35.971923828125,420.0,91.0,3.0,,,388.0,91.0,420.0,91.0
53,58,0,0,1692011751427.156,32.030029296875,424.0,91.0,4.0,,,392.0,91.0,423.0,91.0
54,58,0,0,1692011751459.178,32.02197265625,429.0,91.0,5.0,,,395.0,91.0,428.0,91.0
55,58,0,2,1692011751495.161,35.98291015625,433.0,90.5,4.031,,,400.0,91.0,434.0,91.0
56,58,0,0,1692011751527.28,32.119140625,438.5,90.5,5.5,,,404.5,91.0,437.0,90.0
57,58,0,0,1692011751559.165,31.885009765625,443.0,91.0,4.528,0,0.0,410.0,91.0,444.0,90.5
58,58,0,0,1692011751595.183,36.01806640625,448.5,91.0,5.5,0,0.5,416.0,90.5,447.5,91.5
59,58,0,0,1692011751627.361,32.177978515625,454.0,92.0,5.59,0,1.0,420.0,90.0,454.0,91.0
60,58,0,0,1692011751659.214,31.85302734375,461.0,93.0,7.071,0,1.0,426.5,90.0,459.5,93.0
61,58,0,0,1692011751699.416,40.201904296875,466.0,95.0,5.385,0,0.5,433.5,90.0,468.0,94.0
62,58,0,0,1692011751728.28,28.864013671875,472.5,97.0,6.801,0,0.6073733934116607,439.5,90.0,471.0,97.0
63,58,0,0,1692011751759.834,31.553955078125,479.0,99.5,6.964,0,1.0,447.0,90.0,479.0,99.0
64,58,0,0,1692011751795.304,35.469970703125,485.0,102.5,6.708,0,0.8944271909999159,453.5,91.0,485.5,102.0
65,58,0,0,1692011751827.325,32.02099609375,491.0,106.0,6.946,0,0.9899494936611686,461.0,92.0,491.0,105.5
66,58,0,0,1692011751859.126,31.801025390625,497.0,110.5,7.5,0,1.6909936308157525,468.5,94.0,497.0,109.5
67,58,0,0,1692011751900.262,41.135986328125,503.0,115.5,7.81,0,1.0769372379266153,475.5,97.0,503.0,115.0
68,58,0,0,1692011751931.511,31.2490234375,509.0,121.5,8.485,0,1.3416407864998865,483.0,100.0,509.0,120.5
69,58,0,0,1692011751961.736,30.22509765625,513.0,127.0,6.801,0,1.4756222890348238,490.5,104.0,515.0,127.5
70,58,0,0,1692011751998.764,37.02783203125,519.0,133.5,8.846,0,1.8999999999999886,497.5,108.5,517.0,132.5
71,58,0,0,1692011752030.55,31.7861328125,523.0,140.5,8.062,0,2.1213203435596424,504.5,114.0,525.0,140.0
72,58,0,0,1692011752062.655,32.10498046875,526.5,147.5,7.826,0,2.4748737341529163,510.5,119.5,527.0,147.5
73,58,0,0,1692011752099.178,36.52294921875,530.0,156.5,9.657,0,2.9109521075627725,516.5,126.5,530.0,154.5
74,58,0,0,1692011752130.812,31.634033203125,532.0,165.0,8.732,0,2.604729426373335,522.0,133.5,533.5,165.5
75,58,0,0,1692011752162.681,31.868896484375,534.0,173.5,8.732,0,2.23606797749979,526.0,141.5,534.0,173.5
